"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0000910"	"GO:0000910"	"cytokinesis"	"8/189"	"110/11248"	0.00052076452689543	0.0163444116618326	0.0148178064396233	"KIF23/E2F8/CEP55/NUSAP1/AURKB/PRC1/KIF20A/KIF4A"	8
"GO:0070229"	"GO:0070229"	"negative regulation of lymphocyte apoptotic process"	"4/189"	"23/11248"	0.00053241126674403	0.0164762713600937	0.014937350142171	"AURKB/IDO1/BMP4/PIP"	4
"GO:0061640"	"GO:0061640"	"cytoskeleton-dependent cytokinesis"	"6/189"	"61/11248"	0.00053590261974417	0.0164762713600937	0.014937350142171	"KIF23/CEP55/NUSAP1/AURKB/KIF20A/KIF4A"	6
"GO:0051656"	"GO:0051656"	"establishment of organelle localization"	"16/189"	"375/11248"	0.000582403046961069	0.0177250543484212	0.0160694939592129	"CDCA8/KIF23/CENPE/NDC80/DLGAP5/NUSAP1/MAD2L1/PAX6/KIF18A/CDT1/KIFC1/CCNB1/CACNA1D/MAPT/MLPH/TRIM58"	16
"GO:0002495"	"GO:0002495"	"antigen processing and presentation of peptide antigen via MHC class II"	"7/189"	"86/11248"	0.000593753678830865	0.017889798343174	0.0162188504901694	"KIF23/CENPE/KIF18A/KIF11/LAG3/KIF4A/HLA-DQA1"	7
"GO:0002504"	"GO:0002504"	"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II"	"7/189"	"87/11248"	0.000636686935039693	0.0189934429235109	0.0172194121566233	"KIF23/CENPE/KIF18A/KIF11/LAG3/KIF4A/HLA-DQA1"	7
"GO:0000086"	"GO:0000086"	"G2/M transition of mitotic cell cycle"	"11/189"	"205/11248"	0.00068288643426535	0.0196425387093789	0.017807880919817	"FOXM1/MELK/CCNB2/TPX2/NEK2/CCNA2/CDK1/AURKB/DTL/AURKA/CCNB1"	11
"GO:0072401"	"GO:0072401"	"signal transduction involved in DNA integrity checkpoint"	"6/189"	"64/11248"	0.000694146081265936	0.0196425387093789	0.017807880919817	"E2F8/CDK1/CHEK1/DTL/AURKA/CCNB1"	6
"GO:0072422"	"GO:0072422"	"signal transduction involved in DNA damage checkpoint"	"6/189"	"64/11248"	0.000694146081265936	0.0196425387093789	0.017807880919817	"E2F8/CDK1/CHEK1/DTL/AURKA/CCNB1"	6
"GO:0035404"	"GO:0035404"	"histone-serine phosphorylation"	"3/189"	"11/11248"	0.000697561115799383	0.0196425387093789	0.017807880919817	"AURKB/AURKA/CCNB1"	3
"GO:0051782"	"GO:0051782"	"negative regulation of cell division"	"3/189"	"11/11248"	0.000697561115799383	0.0196425387093789	0.017807880919817	"E2F8/ASPM/AURKB"	3
"GO:0072189"	"GO:0072189"	"ureter development"	"3/189"	"11/11248"	0.000697561115799383	0.0196425387093789	0.017807880919817	"EMX2/BMP4/GATA3"	3
"GO:0045840"	"GO:0045840"	"positive regulation of mitotic nuclear division"	"5/189"	"43/11248"	0.000728433477574608	0.0203219450734472	0.0184238291842701	"DLGAP5/UBE2C/NUSAP1/CDT1/AURKA"	5
"GO:0032506"	"GO:0032506"	"cytokinetic process"	"4/189"	"25/11248"	0.000740888834362163	0.0204725962998322	0.0185604092434764	"KIF23/CEP55/AURKB/KIF20A"	4
"GO:0034502"	"GO:0034502"	"protein localization to chromosome"	"6/189"	"65/11248"	0.000754217786021035	0.0204725962998322	0.0185604092434764	"NDC80/CDK1/CDT1/EZH2/TTK/AURKB"	6
"GO:0072395"	"GO:0072395"	"signal transduction involved in cell cycle checkpoint"	"6/189"	"65/11248"	0.000754217786021035	0.0204725962998322	0.0185604092434764	"E2F8/CDK1/CHEK1/DTL/AURKA/CCNB1"	6
"GO:0070507"	"GO:0070507"	"regulation of microtubule cytoskeleton organization"	"9/189"	"147/11248"	0.000828862819399279	0.0222978899540181	0.0202152163189956	"SKA1/TPX2/TACC3/NEK2/KIF18A/KIF11/CHEK1/AURKA/MAPT"	9
"GO:0040001"	"GO:0040001"	"establishment of mitotic spindle localization"	"4/189"	"26/11248"	0.000864191798021242	0.0230425653755575	0.020890337362507	"NDC80/NUSAP1/MAD2L1/PAX6"	4
"GO:0044843"	"GO:0044843"	"cell cycle G1/S phase transition"	"11/189"	"212/11248"	0.000900932300229595	0.0238114826367699	0.0215874360027313	"CDC45/MCM10/E2F8/RRM2/CCNA2/CDK1/CDT1/EZH2/AURKA/CCNB1/MCM5"	11
"GO:0072676"	"GO:0072676"	"lymphocyte migration"	"6/189"	"68/11248"	0.000958772052511649	0.0251198277758052	0.0227735787301394	"S100A7/CXCL10/CXCL13/CXCL11/CXCL14/GATA3"	6
"GO:1901976"	"GO:1901976"	"regulation of cell cycle checkpoint"	"4/189"	"27/11248"	0.00100127991320468	0.0260073825731526	0.0235782338907999	"NDC80/MAD2L1/CDT1/CCNB1"	4
"GO:0031570"	"GO:0031570"	"DNA integrity checkpoint"	"8/189"	"122/11248"	0.00103197662257899	0.0265756031096625	0.0240933813368645	"CDC45/E2F8/CDK1/CDT1/CHEK1/DTL/AURKA/CCNB1"	8
"GO:0010639"	"GO:0010639"	"negative regulation of organelle organization"	"13/189"	"285/11248"	0.00104468505267	0.0266748818957179	0.0241833872585072	"CDC20/NDC80/TOP2A/NEK2/MAD2L1/CDT1/TTK/AURKB/CHEK1/TRIP13/CCNB1/BMP4/MAPT"	13
"GO:0007076"	"GO:0007076"	"mitotic chromosome condensation"	"3/189"	"13/11248"	0.00117948838250785	0.0298638529117324	0.0270745011287738	"NCAPH/NUSAP1/NCAPG"	3
"GO:2000403"	"GO:2000403"	"positive regulation of lymphocyte migration"	"4/189"	"29/11248"	0.00132004347179159	0.0331440915042338	0.0300483579763085	"S100A7/CXCL10/CXCL13/CXCL14"	4
"GO:0051302"	"GO:0051302"	"regulation of cell division"	"8/189"	"128/11248"	0.00140720420102406	0.0350405475841776	0.0317676807451713	"KIF23/E2F8/ASPM/PAX6/AURKB/PRC1/KIF18B/KIF20A"	8
"GO:0010819"	"GO:0010819"	"regulation of T cell chemotaxis"	"3/189"	"14/11248"	0.00148268923175714	0.0360269568974537	0.0326619571851424	"S100A7/CXCL10/CXCL13"	3
"GO:0030397"	"GO:0030397"	"membrane disassembly"	"3/189"	"14/11248"	0.00148268923175714	0.0360269568974537	0.0326619571851424	"CCNB2/CDK1/CCNB1"	3
"GO:0051081"	"GO:0051081"	"nuclear envelope disassembly"	"3/189"	"14/11248"	0.00148268923175714	0.0360269568974537	0.0326619571851424	"CCNB2/CDK1/CCNB1"	3
"GO:0051293"	"GO:0051293"	"establishment of spindle localization"	"4/189"	"31/11248"	0.00170362576473125	0.0410641954330822	0.0372287061850746	"NDC80/NUSAP1/MAD2L1/PAX6"	4
"GO:0070233"	"GO:0070233"	"negative regulation of T cell apoptotic process"	"3/189"	"15/11248"	0.00183056681880751	0.0434291167328112	0.0393727384567384	"IDO1/BMP4/PIP"	3
"GO:0090185"	"GO:0090185"	"negative regulation of kidney development"	"3/189"	"15/11248"	0.00183056681880751	0.0434291167328112	0.0393727384567384	"ADIPOQ/BMP4/GATA3"	3
"GO:0071695"	"GO:0071695"	"anatomical structure maturation"	"8/189"	"134/11248"	0.00188363227658196	0.0438647850527149	0.0397677143646987	"TRIP13/AURKA/CCNB1/FOXA1/CX3CR1/TRIM58/GATA3/PGR"	8
"GO:0000281"	"GO:0000281"	"mitotic cytokinesis"	"5/189"	"53/11248"	0.00189681160919948	0.0438647850527149	0.0397677143646987	"KIF23/CEP55/NUSAP1/KIF20A/KIF4A"	5
"GO:0051785"	"GO:0051785"	"positive regulation of nuclear division"	"5/189"	"53/11248"	0.00189681160919948	0.0438647850527149	0.0397677143646987	"DLGAP5/UBE2C/NUSAP1/CDT1/AURKA"	5
"GO:0034508"	"GO:0034508"	"centromere complex assembly"	"4/189"	"32/11248"	0.00192172307565827	0.0438647850527149	0.0397677143646987	"CENPE/HJURP/CENPM/CENPN"	4
"GO:0110111"	"GO:0110111"	"negative regulation of animal organ morphogenesis"	"4/189"	"32/11248"	0.00192172307565827	0.0438647850527149	0.0397677143646987	"BMP4/CHAD/ASPN/GATA3"	4
"GO:0000082"	"GO:0000082"	"G1/S transition of mitotic cell cycle"	"10/189"	"201/11248"	0.00209459299266016	0.0474511931344742	0.0430191437748566	"CDC45/MCM10/E2F8/RRM2/CDK1/CDT1/EZH2/AURKA/CCNB1/MCM5"	10
